,age,job,marital,balance,PrepBy
6,28,management,single,447,Anan
49,29,management,single,0,Anan
523,29,management,single,0,Anan
938,27,management,single,134,Anan
950,29,management,married,147,Anan
1046,23,management,single,2605,Anan
1124,29,management,married,199,Anan
1135,28,management,married,3,Anan
1178,25,management,single,1348,Anan
1382,28,management,single,150,Anan
1390,28,management,single,21,Anan
1448,29,management,divorced,607,Anan
1586,26,management,single,498,Anan
1682,29,management,married,246,Anan
1723,28,management,single,3285,Anan
1744,27,management,single,118,Anan
1781,29,management,single,726,Anan
1808,26,management,single,1326,Anan
1814,28,management,single,101,Anan
1840,26,management,married,1349,Anan
1849,29,management,married,-6,Anan
2004,23,management,single,375,Anan
2057,25,management,married,784,Anan
2087,26,management,divorced,-402,Anan
2097,27,management,single,541,Anan
2234,27,management,single,2420,Anan
2379,22,management,single,594,Anan
2526,25,management,single,1270,Anan
2630,26,management,married,1531,Anan
2785,28,management,single,202,Anan
2945,28,management,single,334,Anan
3029,29,management,single,1952,Anan
3255,29,management,married,137,Anan
3374,25,management,single,6,Anan
3500,29,management,married,10576,Anan
3689,28,management,married,82,Anan
3735,29,management,married,1,Anan
3778,27,management,married,-41,Anan
3869,27,management,single,-98,Anan
3885,28,management,married,103,Anan
3886,27,management,single,-308,Anan
3914,29,management,single,0,Anan
4011,27,management,single,0,Anan
4040,25,management,single,99,Anan
4137,27,management,single,0,Anan
4179,29,management,single,617,Anan
4182,26,management,married,775,Anan
4247,23,management,single,85,Anan
4265,29,management,single,-233,Anan
4267,28,management,single,3238,Anan
4287,28,management,single,471,Anan
4994,29,management,married,-559,Anan
5002,29,management,single,330,Anan
5028,27,management,single,967,Anan
5029,28,management,married,395,Anan
5156,26,management,single,1284,Anan
5422,29,management,single,368,Anan
5549,29,management,single,0,Anan
5775,28,management,single,1107,Anan
5779,28,management,single,7544,Anan
5815,28,management,married,102,Anan
5875,26,management,single,205,Anan
5886,29,management,single,54,Anan
5899,29,management,married,5284,Anan
5921,23,management,married,175,Anan
5928,28,management,married,328,Anan
5985,24,management,single,66,Anan
6061,24,management,single,553,Anan
6184,28,management,single,939,Anan
6206,28,management,single,0,Anan
6372,29,management,single,941,Anan
6387,28,management,single,204,Anan
6420,29,management,single,0,Anan
6429,28,management,married,13186,Anan
6434,29,management,married,7832,Anan
6446,29,management,single,10436,Anan
6505,28,management,married,318,Anan
6506,29,management,single,-105,Anan
6542,24,management,married,2278,Anan
6576,29,management,married,-218,Anan
6598,29,management,married,314,Anan
6619,29,management,married,16232,Anan
6626,26,management,single,6840,Anan
6629,29,management,married,2451,Anan
6636,29,management,single,0,Anan
6653,27,management,single,442,Anan
6654,28,management,single,1996,Anan
6706,29,management,married,4050,Anan
6724,29,management,married,168,Anan
6764,29,management,married,715,Anan
6769,29,management,single,-158,Anan
6772,29,management,single,5980,Anan
6773,28,management,married,292,Anan
6784,29,management,single,112,Anan
6790,28,management,single,1069,Anan
6833,26,management,single,2692,Anan
6868,29,management,single,293,Anan
6900,27,management,single,1995,Anan
6907,29,management,married,8089,Anan
6955,29,management,divorced,415,Anan
6991,27,management,single,3104,Anan
7011,27,management,single,731,Anan
7056,28,management,single,355,Anan
7069,29,management,single,119,Anan
7206,29,management,married,1474,Anan
7334,27,management,single,12956,Anan
7437,28,management,single,1086,Anan
7454,29,management,married,1366,Anan
7622,29,management,married,1671,Anan
7653,29,management,married,239,Anan
7794,28,management,single,0,Anan
7809,25,management,single,17,Anan
7866,26,management,single,1004,Anan
7881,27,management,single,2061,Anan
7922,29,management,single,0,Anan
8011,24,management,single,86,Anan
8037,29,management,single,144,Anan
8259,28,management,single,6321,Anan
8336,29,management,married,0,Anan
8399,27,management,single,450,Anan
8465,26,management,single,-630,Anan
8489,27,management,single,178,Anan
8564,25,management,married,168,Anan
8599,28,management,married,3844,Anan
8683,25,management,single,2399,Anan
8759,29,management,single,1566,Anan
8765,28,management,single,4013,Anan
8785,27,management,single,648,Anan
8795,25,management,single,493,Anan
8811,27,management,single,99,Anan
8817,27,management,single,-713,Anan
8819,28,management,single,191,Anan
8877,28,management,single,-227,Anan
8901,28,management,single,-380,Anan
8937,29,management,married,68,Anan
8946,24,management,single,933,Anan
8960,29,management,married,941,Anan
9107,27,management,single,703,Anan
9335,26,management,single,565,Anan
9343,25,management,single,490,Anan
9452,27,management,single,1029,Anan
10465,29,management,single,573,Anan
10559,29,management,single,5894,Anan
10597,29,management,single,584,Anan
11057,26,management,single,71,Anan
11108,28,management,single,2253,Anan
11143,29,management,married,620,Anan
12043,29,management,single,1422,Anan
12056,24,management,married,867,Anan
12095,28,management,single,311,Anan
12312,29,management,single,42,Anan
12330,28,management,single,282,Anan
12406,24,management,single,653,Anan
12605,25,management,single,115,Anan
12657,27,management,single,35,Anan
12743,27,management,single,1609,Anan
12770,28,management,single,0,Anan
12823,27,management,married,54,Anan
12880,27,management,single,338,Anan
12984,27,management,single,1117,Anan
13050,27,management,single,136,Anan
13059,26,management,single,122,Anan
13069,25,management,single,1098,Anan
13102,26,management,single,350,Anan
13124,25,management,single,1923,Anan
13129,25,management,single,314,Anan
13131,26,management,single,33,Anan
13136,29,management,married,0,Anan
13138,27,management,single,0,Anan
13176,26,management,single,8303,Anan
13182,28,management,married,3694,Anan
13231,28,management,single,882,Anan
13255,28,management,single,81,Anan
13259,28,management,single,1252,Anan
13296,29,management,single,640,Anan
13313,27,management,married,5262,Anan
13369,27,management,single,154,Anan
13616,29,management,single,-223,Anan
13682,29,management,single,0,Anan
13688,25,management,single,710,Anan
13722,29,management,married,55,Anan
13986,26,management,single,45,Anan
14010,29,management,married,6586,Anan
14028,26,management,married,17,Anan
14090,28,management,married,17,Anan
14153,29,management,single,983,Anan
14216,25,management,single,10,Anan
14298,29,management,married,581,Anan
14314,28,management,single,62,Anan
14447,28,management,divorced,-76,Anan
14626,29,management,married,0,Anan
14657,29,management,married,0,Anan
14760,28,management,single,0,Anan
14815,29,management,married,465,Anan
14817,27,management,single,151,Anan
14885,28,management,single,1,Anan
14893,26,management,single,55,Anan
14986,29,management,married,16,Anan
14998,27,management,married,4909,Anan
15067,27,management,married,342,Anan
15071,29,management,married,727,Anan
15125,28,management,married,3516,Anan
15155,28,management,single,416,Anan
15177,29,management,married,1,Anan
15198,29,management,married,51,Anan
15203,29,management,married,900,Anan
15380,27,management,married,33,Anan
15385,28,management,single,-994,Anan
15418,25,management,single,0,Anan
15445,28,management,single,2249,Anan
15488,25,management,married,51,Anan
15544,29,management,single,0,Anan
15556,27,management,single,-403,Anan
15637,29,management,single,3357,Anan
15645,28,management,married,250,Anan
15688,27,management,single,831,Anan
15696,29,management,single,107,Anan
15752,26,management,single,609,Anan
15803,25,management,married,3,Anan
15811,29,management,single,1035,Anan
15839,27,management,married,1109,Anan
15861,29,management,single,872,Anan
15946,27,management,married,1,Anan
16008,27,management,single,3,Anan
16043,26,management,married,877,Anan
16073,28,management,single,187,Anan
16118,29,management,single,0,Anan
16148,28,management,married,143,Anan
16150,27,management,married,2,Anan
16155,26,management,single,-38,Anan
16169,26,management,single,97,Anan
16205,26,management,married,288,Anan
16207,27,management,divorced,148,Anan
16216,28,management,single,466,Anan
16230,25,management,married,2228,Anan
16263,26,management,single,3,Anan
16289,26,management,single,14004,Anan
16304,25,management,married,937,Anan
16313,28,management,single,-56,Anan
16368,25,management,single,323,Anan
16381,26,management,single,33,Anan
16498,26,management,single,2356,Anan
16566,25,management,single,137,Anan
16651,28,management,single,1,Anan
16672,28,management,married,9664,Anan
16690,29,management,married,1022,Anan
16716,27,management,married,2729,Anan
16838,25,management,single,1272,Anan
16927,29,management,married,5698,Anan
16936,28,management,single,1466,Anan
17026,28,management,single,231,Anan
17067,27,management,married,159,Anan
17088,28,management,single,265,Anan
17143,27,management,married,9630,Anan
17160,29,management,single,2063,Anan
17186,28,management,married,84,Anan
17191,25,management,single,155,Anan
17203,27,management,single,72,Anan
17247,28,management,single,111,Anan
17339,29,management,married,361,Anan
17384,29,management,single,91,Anan
17438,26,management,single,63,Anan
17472,29,management,single,1895,Anan
17500,27,management,single,0,Anan
17537,28,management,single,-513,Anan
17549,28,management,single,1154,Anan
17692,29,management,single,-689,Anan
17732,29,management,single,-1661,Anan
18171,27,management,single,1,Anan
18298,28,management,single,1837,Anan
18475,27,management,single,385,Anan
18505,28,management,married,22,Anan
18612,25,management,married,0,Anan
18635,27,management,single,148,Anan
18799,29,management,married,53,Anan
24117,27,management,single,185,Anan
24121,28,management,single,1335,Anan
24128,26,management,single,4683,Anan
24141,29,management,single,572,Anan
24164,26,management,married,52,Anan
27720,22,management,single,760,Anan
27735,29,management,married,805,Anan
27749,26,management,single,2725,Anan
27775,29,management,married,451,Anan
27799,27,management,single,589,Anan
27917,28,management,married,264,Anan
28038,29,management,married,54,Anan
28081,28,management,single,95,Anan
28090,28,management,single,20,Anan
28091,28,management,single,78,Anan
28235,27,management,single,791,Anan
28271,29,management,married,246,Anan
28272,27,management,married,145,Anan
28295,26,management,married,3360,Anan
28376,26,management,divorced,-402,Anan
28392,29,management,married,1258,Anan
28410,28,management,single,278,Anan
28464,29,management,married,314,Anan
28479,28,management,single,882,Anan
28516,27,management,single,170,Anan
28520,29,management,married,266,Anan
28526,28,management,single,203,Anan
28532,28,management,single,1861,Anan
28554,29,management,married,1366,Anan
28560,29,management,single,536,Anan
28650,29,management,single,475,Anan
28655,29,management,married,-346,Anan
28657,29,management,single,1218,Anan
28660,28,management,single,185,Anan
28661,27,management,single,13,Anan
28702,27,management,single,625,Anan
28715,26,management,single,157,Anan
28750,26,management,single,828,Anan
28768,27,management,single,1081,Anan
28777,27,management,single,1277,Anan
28782,26,management,married,265,Anan
28867,26,management,single,800,Anan
28882,27,management,single,0,Anan
28902,28,management,single,2080,Anan
28972,26,management,single,212,Anan
29070,28,management,single,33,Anan
29123,26,management,single,761,Anan
29131,29,management,married,-45,Anan
29136,26,management,single,0,Anan
29138,27,management,single,1414,Anan
29198,28,management,single,224,Anan
29204,29,management,single,29,Anan
29242,29,management,single,642,Anan
29305,28,management,single,233,Anan
29326,29,management,married,-420,Anan
29336,28,management,single,-328,Anan
29391,29,management,single,2439,Anan
29428,25,management,single,2305,Anan
29429,26,management,single,1720,Anan
29503,26,management,single,159,Anan
29518,27,management,single,924,Anan
29549,29,management,married,877,Anan
29593,29,management,married,1606,Anan
29709,26,management,single,1837,Anan
29819,29,management,married,1713,Anan
29853,29,management,married,1441,Anan
29924,28,management,single,637,Anan
29967,28,management,single,6817,Anan
29985,29,management,single,697,Anan
30036,28,management,single,725,Anan
30152,28,management,married,1246,Anan
30222,28,management,single,292,Anan
30293,27,management,single,2648,Anan
30297,29,management,married,204,Anan
30331,27,management,single,2849,Anan
30382,27,management,married,312,Anan
30392,29,management,single,841,Anan
30402,27,management,single,0,Anan
30435,27,management,single,497,Anan
30463,28,management,single,810,Anan
30541,26,management,single,690,Anan
30553,28,management,single,321,Anan
30592,26,management,single,383,Anan
30633,26,management,single,2722,Anan
30741,27,management,single,116,Anan
30778,28,management,married,247,Anan
30891,27,management,single,317,Anan
30896,27,management,married,1918,Anan
30928,29,management,married,160,Anan
30929,29,management,single,176,Anan
30934,27,management,single,10,Anan
30962,27,management,single,406,Anan
30985,28,management,single,385,Anan
30995,27,management,single,3196,Anan
31004,25,management,married,103,Anan
31038,26,management,single,1222,Anan
31093,25,management,single,2506,Anan
31120,29,management,single,5359,Anan
31133,29,management,single,15459,Anan
31146,28,management,single,1287,Anan
31153,28,management,single,3611,Anan
31176,29,management,single,1275,Anan
31218,29,management,single,92,Anan
31230,28,management,single,730,Anan
31251,24,management,single,1030,Anan
31273,26,management,single,651,Anan
31282,23,management,single,1506,Anan
31284,26,management,single,1274,Anan
31303,28,management,single,171,Anan
31311,25,management,married,4461,Anan
31335,25,management,single,1259,Anan
31378,26,management,single,2786,Anan
31390,26,management,single,15,Anan
31433,25,management,single,316,Anan
31434,23,management,single,2143,Anan
31442,23,management,single,1004,Anan
31446,27,management,single,831,Anan
31456,29,management,married,250,Anan
31473,27,management,single,0,Anan
31849,29,management,single,1377,Anan
31872,28,management,single,781,Anan
31936,25,management,single,565,Anan
31939,28,management,divorced,229,Anan
31996,26,management,single,-3,Anan
32056,25,management,single,702,Anan
32065,24,management,married,448,Anan
32150,28,management,married,152,Anan
32154,29,management,married,5698,Anan
32224,28,management,married,577,Anan
32288,25,management,single,3,Anan
32338,29,management,single,268,Anan
32730,29,management,married,760,Anan
32871,28,management,single,175,Anan
32876,29,management,married,103,Anan
32890,28,management,married,258,Anan
32938,27,management,single,2821,Anan
33134,28,management,single,2840,Anan
33212,28,management,single,145,Anan
33410,28,management,single,967,Anan
33518,29,management,single,1170,Anan
33573,29,management,single,11968,Anan
33730,29,management,married,482,Anan
33798,29,management,single,224,Anan
33804,27,management,single,88,Anan
33813,29,management,married,4328,Anan
33858,26,management,single,6791,Anan
33874,29,management,married,1441,Anan
33892,27,management,single,828,Anan
33905,28,management,single,320,Anan
33911,29,management,single,697,Anan
33912,25,management,single,943,Anan
33924,29,management,single,7345,Anan
33948,24,management,single,2845,Anan
33966,25,management,single,2305,Anan
33973,29,management,married,231,Anan
33996,29,management,single,91,Anan
34008,29,management,married,125,Anan
34012,23,management,single,736,Anan
34024,28,management,single,1808,Anan
34063,25,management,single,219,Anan
34102,25,management,single,436,Anan
34142,29,management,single,2753,Anan
34155,29,management,married,30,Anan
34170,29,management,single,36252,Anan
34239,28,management,single,672,Anan
34264,29,management,married,451,Anan
34265,26,management,single,4683,Anan
34295,28,management,single,678,Anan
34359,29,management,single,9407,Anan
34379,27,management,single,88,Anan
34389,29,management,single,3317,Anan
34434,29,management,single,1514,Anan
34443,26,management,single,4116,Anan
34498,26,management,married,784,Anan
34511,27,management,single,0,Anan
34635,27,management,single,218,Anan
34699,29,management,single,2799,Anan
34781,27,management,single,2559,Anan
34904,26,management,single,1494,Anan
34957,29,management,single,471,Anan
35118,29,management,married,0,Anan
35149,26,management,single,199,Anan
35226,26,management,single,114,Anan
35361,28,management,single,682,Anan
35450,27,management,single,405,Anan
35463,24,management,single,1085,Anan
35488,29,management,married,2417,Anan
35543,29,management,married,991,Anan
35617,29,management,married,202,Anan
35679,27,management,single,1137,Anan
35791,29,management,single,3041,Anan
35823,26,management,single,962,Anan
36001,29,management,single,572,Anan
36220,29,management,married,340,Anan
36269,26,management,married,5,Anan
36482,29,management,single,0,Anan
36624,29,management,married,20,Anan
36708,27,management,single,498,Anan
36774,29,management,married,13186,Anan
37023,28,management,married,3589,Anan
37051,27,management,single,321,Anan
37149,25,management,single,1,Anan
37175,29,management,single,172,Anan
37193,29,management,single,0,Anan
37211,28,management,single,4937,Anan
37398,22,management,single,374,Anan
37502,27,management,single,205,Anan
37580,26,management,single,3944,Anan
37712,29,management,single,21,Anan
37751,29,management,married,231,Anan
37757,28,management,single,1027,Anan
37947,29,management,single,-11,Anan
37972,28,management,single,293,Anan
38028,29,management,married,8,Anan
38216,27,management,single,212,Anan
38239,29,management,single,13,Anan
38268,27,management,married,1531,Anan
38289,28,management,single,703,Anan
38304,29,management,single,499,Anan
38432,29,management,single,1388,Anan
38544,28,management,single,41,Anan
38558,27,management,single,7944,Anan
38615,27,management,married,54,Anan
38704,29,management,single,1273,Anan
38842,27,management,single,3347,Anan
38876,26,management,single,-130,Anan
38884,28,management,single,788,Anan
38904,29,management,single,4210,Anan
38916,27,management,single,565,Anan
38988,29,management,married,85,Anan
39000,26,management,single,47,Anan
39024,27,management,single,438,Anan
39025,25,management,married,-242,Anan
39038,27,management,single,2802,Anan
39041,28,management,married,1480,Anan
39055,29,management,single,797,Anan
39121,28,management,single,-386,Anan
39143,27,management,single,574,Anan
39151,28,management,single,1609,Anan
39187,29,management,single,2637,Anan
39213,22,management,single,103,Anan
39215,25,management,married,127,Anan
39220,29,management,married,318,Anan
39254,29,management,divorced,559,Anan
39267,29,management,married,1387,Anan
39350,29,management,single,722,Anan
39375,24,management,single,3197,Anan
39377,27,management,single,377,Anan
39387,29,management,single,265,Anan
39421,29,management,single,428,Anan
39433,27,management,single,616,Anan
39435,29,management,single,7578,Anan
39478,28,management,single,957,Anan
39511,28,management,married,466,Anan
39552,26,management,married,243,Anan
39561,25,management,single,1602,Anan
39565,25,management,single,1317,Anan
39573,27,management,single,207,Anan
39602,25,management,single,530,Anan
39637,29,management,single,2907,Anan
39649,29,management,single,15459,Anan
39664,27,management,single,80,Anan
39667,26,management,single,155,Anan
39668,27,management,single,7,Anan
39681,25,management,single,430,Anan
39685,25,management,single,808,Anan
39706,25,management,single,222,Anan
39708,28,management,single,0,Anan
39719,28,management,married,1109,Anan
39726,29,management,single,559,Anan
39732,26,management,single,2506,Anan
39760,26,management,single,1274,Anan
39780,26,management,single,2613,Anan
39826,27,management,single,1840,Anan
39845,29,management,single,92,Anan
39847,26,management,single,1623,Anan
39861,26,management,single,3178,Anan
39863,29,management,single,307,Anan
39880,28,management,single,560,Anan
39887,25,management,single,4578,Anan
39893,25,management,single,1628,Anan
39966,29,management,single,3846,Anan
39986,29,management,single,637,Anan
40018,26,management,single,2786,Anan
40035,25,management,single,362,Anan
40043,29,management,single,1739,Anan
40052,29,management,single,2389,Anan
40060,27,management,married,2071,Anan
40063,29,management,single,572,Anan
40071,29,management,married,205,Anan
40115,27,management,single,587,Anan
40124,28,management,single,171,Anan
40126,25,management,single,295,Anan
40127,28,management,single,1633,Anan
40146,28,management,single,874,Anan
40147,24,management,single,1004,Anan
40155,25,management,single,289,Anan
40209,25,management,single,6246,Anan
40226,24,management,single,1506,Anan
40255,29,management,single,4694,Anan
40278,27,management,single,20585,Anan
40293,27,management,single,522,Anan
40298,26,management,single,170,Anan
40301,28,management,single,502,Anan
40320,29,management,single,1675,Anan
40328,21,management,single,243,Anan
40354,26,management,divorced,667,Anan
40378,27,management,single,446,Anan
40429,28,management,single,492,Anan
40434,28,management,single,12956,Anan
40437,28,management,single,9314,Anan
40459,24,management,single,507,Anan
40467,24,management,single,172,Anan
40470,29,management,married,5547,Anan
40493,29,management,single,4331,Anan
40494,28,management,single,1942,Anan
40519,25,management,single,1129,Anan
40546,28,management,single,3796,Anan
40570,27,management,single,2489,Anan
40594,28,management,single,5474,Anan
40598,28,management,single,5549,Anan
40608,29,management,single,308,Anan
40609,25,management,single,219,Anan
